;Unidad de programación
0;ABO1
1;ABO2
2;ACE3
3;ACE4
4;AGUG
5;ALG3
6;AMBIETA
7;ARCOS1
8;ARCOS2
9;ARCOS3
10;ARRU1
11;ARRU2
12;BAHIAB
13;BES3
14;BES4
15;BES5
16;BRR1
17;CAMGI20
18;CCO3
19;CHIPG
20;COL4
21;COM4
22;COM5
23;CTGN1
24;CTGN2
25;CTGN3
26;CTJON1
27;CTJON3
28;CTN4
29;DUER
30;E1CEG
31;EAUSIN
32;EBRACC1
33;EBRACC2
34;EBRFEN
35;ECT2
36;ECT3
37;EELEZU
38;EGEAMG
39;EMOWE
40;ESC6
41;ESCCC1
42;ESCCC3
43;ETSANTO
44;EUW3VIL
45;EVALCAI
46;GDLQ
47;GDNA
48;GENGES3
49;GENGEST
50;GUA2
51;GUIG
52;HCHI
53;HEGEDGS
54;HFERRAT
55;HHITOIZ
56;HPCANAV
57;JUCA
58;LAD4
59;LIT1
60;LIT2
61;MALA1
62;MEI1
63;MUEL
64;PALOS1
65;PALOS2
66;PALOS3
67;PBCN1
68;PBCN2
69;PGR1
70;PGR2
71;PGR3
72;PGR4
73;PGR5
74;PNN3
75;PVENT1
76;PVENT2
77;RUCBIO2
78;SAGU1
79;SAGU2
80;SAGU3
81;SBEU
82;SBO3
83;SIL
84;SLTG
85;SRI3
86;SRI4
87;SRI5
88;SROQ1
89;SROQ2
90;STC4
91;T1CEG
92;T2CEG
93;TAJO
94;TARRAG
95;TEES
96;TER1
97;TER2
98;TER3
99;TERE
100;TIGBCL
101;TIGMTF
102;TJEG
103;TNUFR
104;TNUFRI
105;UFGC
106;UFMI
107;UFTA
108;VIES
