;Energía utilizada de Regulación Secundaria bajar;Energía utilizada de Regulación Secundaria subir;Precio Banda de regulación secundaria;Precio de los desvíos medidos a bajar;Precio de los desvíos medidos a subir;Precio de Regulación Secundaria bajar;Precio de Regulación Secundaria subir;Precio mercado SPOT Diario;Requerimientos Banda de regulación secundaria a bajar;Requerimientos Banda de regulación secundaria a subir
2014-01-01 00:00:00+01:00;209.8;57.2;69.01;20.02;0.0;0.0;26.0;20.02;600.0;700.0
2014-01-01 01:00:00+01:00;7.2;873.3;50.0;42.79;10.34;0.0;42.78999112485327;10.34;500.0;600.0
2014-01-01 02:00:00+01:00;5.9;481.2;57.8;47.15;5.35;10.0;47.14997433120847;5.35;500.0;500.0
2014-01-01 03:00:00+01:00;217.5;13.9;54.15;5.0;0.0;0.0;45.0;5.0;400.0;500.0
2014-01-01 04:00:00+01:00;165.9;0.0;54.15;0.5;0.0;0.0;;0.5;400.0;500.0
2014-01-01 05:00:00+01:00;409.5;5.8;54.82;0.0;0.0;0.0;25.000866100814136;0.0;400.0;500.0
2014-01-01 06:00:00+01:00;1.6;108.3;55.0;0.0;0.0;0.0;42.3800768690639;0.0;400.0;500.0
2014-01-01 07:00:00+01:00;33.2;127.3;55.0;0.0;0.0;0.0;42.380032206119154;0.0;400.0;500.0
2014-01-01 08:00:00+01:00;68.9;101.1;55.0;0.0;0.0;0.0;10.0;0.0;400.0;500.0
2014-01-01 09:00:00+01:00;0.7;263.4;62.37;0.0;0.0;0.0;35.000056934855145;0.0;500.0;700.0
2014-01-01 10:00:00+01:00;5.8;1092.7;48.0;47.58;2.0;0.0;47.579984696828795;2.0;500.0;700.0
2014-01-01 11:00:00+01:00;6.6;875.4;43.0;51.24;4.75;0.0;55.000017135904855;4.75;500.0;700.0
2014-01-01 12:00:00+01:00;6.2;246.1;43.0;43.44;5.35;0.0;45.33000516300039;5.35;500.0;700.0
2014-01-01 13:00:00+01:00;6.2;435.1;44.7;57.57;4.9;0.009738678785911378;64.00000459762717;4.9;500.0;600.0
2014-01-01 14:00:00+01:00;6.0;426.8;55.0;61.44;0.9;0.009971746717633371;67.00001405441871;0.9;500.0;600.0
2014-01-01 15:00:00+01:00;3.4;366.2;55.0;51.59;0.0;20.0;55.00002729645037;0.0;400.0;500.0
2014-01-01 16:00:00+01:00;277.9;0.0;55.0;49.0;0.0;0.0;;0.0;400.0;500.0
2014-01-01 17:00:00+01:00;42.4;42.2;77.89;37.06;0.0;0.0;39.40000474304551;0.0;600.0;900.0
2014-01-01 18:00:00+01:00;5.3;265.2;75.54;61.91;5.0;20.0;63.32995092362418;5.0;600.0;900.0
2014-01-01 19:00:00+01:00;324.5;4.7;48.43;43.33;7.8;7.799993836481863;45.56007710430499;7.8;500.0;900.0
2014-01-01 20:00:00+01:00;7.3;330.3;38.62;41.32;18.9;20.0;41.79997214602747;18.9;500.0;800.0
2014-01-01 21:00:00+01:00;17.7;55.6;45.1;36.0;20.0;20.0;35.999928004463726;20.0;500.0;800.0
2014-01-01 22:00:00+01:00;10.0;352.1;41.0;20.0;0.0;0.0;45.00005679301219;20.0;600.0;800.0
2014-01-01 23:00:00+01:00;460.6;40.6;72.44;8.6;0.0;0.0;25.000246366100026;8.6;600.0;800.0
2014-01-02 00:00:00+01:00;55.2;146.0;72.0;5.13;0.0;0.0;49.000102757321464;5.13;600.0;700.0
2014-01-02 01:00:00+01:00;0.0;146.0;70.11;0.0;0.0;;5.000136937529098;0.0;500.0;600.0
2014-01-02 02:00:00+01:00;0.0;134.9;59.93;0.0;0.0;;0.0;0.0;400.0;500.0
2014-01-02 03:00:00+01:00;99.9;31.7;59.93;0.0;0.0;0.0;0.0;0.0;400.0;500.0
2014-01-02 04:00:00+01:00;8.0;258.9;59.93;10.0;0.0;0.0;10.0;0.0;400.0;500.0
2014-01-02 05:00:00+01:00;0.0;731.5;59.93;44.44;0.0;;44.43999710193665;0.0;400.0;500.0
2014-01-02 06:00:00+01:00;0.0;1225.4;67.27;50.0;0.0;;50.0;0.0;500.0;900.0
2014-01-02 07:00:00+01:00;0.0;651.0;58.0;56.33;18.9;;65.00002304250114;18.9;600.0;900.0
2014-01-02 08:00:00+01:00;0.0;820.5;52.0;55.97;27.2;;67.37999488173143;27.2;600.0;900.0
2014-01-02 09:00:00+01:00;0.0;463.8;23.0;64.97;36.0;;77.14003936269512;36.0;500.0;900.0
2014-01-02 10:00:00+01:00;19.1;140.7;23.0;91.0;40.13;40.11005712488864;107.77000859820788;40.13;500.0;900.0
2014-01-02 11:00:00+01:00;161.6;47.6;17.2;85.91;40.88;38.1199792050898;102.7700289879427;40.88;500.0;700.0
2014-01-02 12:00:00+01:00;440.8;12.1;18.48;58.12;41.65;32.19997958002927;68.88025782993141;41.65;500.0;700.0
2014-01-02 13:00:00+01:00;0.0;271.9;24.25;50.45;39.18;;60.0;39.18;500.0;700.0
2014-01-02 14:00:00+01:00;0.0;532.3;42.67;51.51;35.2;;60.67000403865841;35.2;600.0;700.0
2014-01-02 15:00:00+01:00;0.0;485.9;38.81;44.52;34.87;;47.76999526739233;34.87;600.0;700.0
2014-01-02 16:00:00+01:00;2.3;158.9;35.0;45.02;30.0;35.67895878524945;46.22998068076697;30.0;500.0;600.0
2014-01-02 17:00:00+01:00;6.6;372.1;31.71;51.55;37.12;37.099743473668326;60.0;37.12;500.0;600.0
